audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
3279,2026-05-02T05:37:44+00:00,2026-05-02T02:37:44-03:00,486,TH-PETR4-bullish-22614,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"GGBR4,RENT3,B3SA3,LREN3,BBDC4,PETR4,HAPV3,SUZB3"
3282,2026-05-02T05:38:13+00:00,2026-05-02T02:38:13-03:00,487,TH-BPAC11-bullish-0565,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"BPAC11,GGBR4,CMIG4,ITUB4,B3SA3,BBDC4,VBBR3"
3285,2026-05-02T05:38:40+00:00,2026-05-02T02:38:40-03:00,488,TH-RENT3-bullish-0110,RENT3,bullish,BULL_CALL_SPREAD,70.5084,3.6969,-1.383,"RENT3,B3SA3,CMIG4,LREN3,BBAS3,GGBR4"
3288,2026-05-02T05:39:06+00:00,2026-05-02T02:39:06-03:00,489,TH-RENT3-bullish-4374,RENT3,bullish,BULL_CALL_SPREAD,70.5084,3.6969,-1.383,"BBAS3,RENT3,WEGE3,GGBR4,VALE3"
3291,2026-05-02T05:39:25+00:00,2026-05-02T02:39:25-03:00,490,TH-BPAC11-bullish-12889,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"BBDC4,ITUB4,RADL3,BPAC11"
3294,2026-05-02T05:39:57+00:00,2026-05-02T02:39:57-03:00,491,TH-PRIO3-bullish-23695,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"LREN3,ITUB4,BBAS3,BPAC11,VBBR3,WEGE3,B3SA3,PRIO3"
3297,2026-05-02T05:40:23+00:00,2026-05-02T02:40:23-03:00,492,TH-PRIO3-bullish-5298,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"RENT3,PRIO3,JBSS3,BBAS3,B3SA3"
3300,2026-05-02T05:40:56+00:00,2026-05-02T02:40:56-03:00,493,TH-PRIO3-bullish-16228,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"JBSS3,WEGE3,RADL3,B3SA3,VBBR3,PRIO3,ITUB4,CMIG4"
3303,2026-05-02T05:41:24+00:00,2026-05-02T02:41:24-03:00,494,TH-PETR4-bullish-5840,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BPAC11,PETR4,RAIL3,B3SA3,BBDC4,GGBR4"
3306,2026-05-02T05:41:46+00:00,2026-05-02T02:41:46-03:00,495,TH-BBAS3-bullish-16089,BBAS3,bullish,BULL_CALL_SPREAD,72.5393,3.9244,2.8035,"ABEV3,VALE3,BBDC4,BBAS3"
3309,2026-05-02T05:42:09+00:00,2026-05-02T02:42:09-03:00,496,TH-WEGE3-bullish-3499,WEGE3,bullish,BULL_CALL_SPREAD,73.6673,4.0507,5.0827,"WEGE3,LREN3,VALE3,BBAS3"
3312,2026-05-02T05:42:47+00:00,2026-05-02T02:42:47-03:00,497,TH-PETR4-bullish-22319,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"LREN3,GGBR4,CMIG4,JBSS3,BPAC11,PETR4,RENT3,ITUB4"
3315,2026-05-02T05:43:22+00:00,2026-05-02T02:43:22-03:00,498,TH-PETR4-bullish-9680,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"RAIL3,JBSS3,PETR4,LREN3,HAPV3,PRIO3,ITUB4,B3SA3"
3318,2026-05-02T05:43:47+00:00,2026-05-02T02:43:47-03:00,499,TH-HAPV3-bearish-18334,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"GGBR4,VALE3,BBDC4,ITUB4,HAPV3,RAIL3"
3321,2026-05-02T05:44:06+00:00,2026-05-02T02:44:06-03:00,500,TH-HAPV3-bearish-1315,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"HAPV3,SUZB3,RENT3,B3SA3"
3324,2026-05-02T05:44:38+00:00,2026-05-02T02:44:38-03:00,501,TH-PETR4-bullish-19428,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BBDC4,CMIG4,RADL3,BPAC11,VBBR3,PETR4,RAIL3"
3327,2026-05-02T05:44:59+00:00,2026-05-02T02:44:59-03:00,502,TH-BPAC11-bullish-0565,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"BPAC11,VBBR3,ITUB4,JBSS3"
3330,2026-05-02T05:45:28+00:00,2026-05-02T02:45:28-03:00,503,TH-PETR4-bullish-7828,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BBDC4,PETR4,PRIO3,VBBR3,SUZB3"
3333,2026-05-02T05:45:50+00:00,2026-05-02T02:45:50-03:00,504,TH-BPAC11-bullish-4802,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"ITUB4,BPAC11,WEGE3,BBAS3"
3336,2026-05-02T05:46:16+00:00,2026-05-02T02:46:16-03:00,505,TH-PETR4-bullish-14082,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"ITUB4,HAPV3,LREN3,PETR4"
3339,2026-05-02T05:46:49+00:00,2026-05-02T02:46:49-03:00,506,TH-PETR4-bullish-7287,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"RADL3,PETR4,ITUB4,PRIO3,HAPV3,BBAS3"
3342,2026-05-02T05:47:19+00:00,2026-05-02T02:47:19-03:00,507,TH-PRIO3-bullish-20066,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"JBSS3,WEGE3,VBBR3,SUZB3,ABEV3,RENT3,PRIO3"
3345,2026-05-02T05:47:42+00:00,2026-05-02T02:47:42-03:00,508,TH-JBSS3-bullish-4734,JBSS3,bullish,BULL_CALL_SPREAD,71.172,3.7713,5.4,"VBBR3,RAIL3,JBSS3,GGBR4,VALE3"
3348,2026-05-02T05:48:13+00:00,2026-05-02T02:48:13-03:00,509,TH-PRIO3-bullish-9743,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"ITUB4,BPAC11,B3SA3,PRIO3,BBDC4,RENT3,VALE3"
3351,2026-05-02T05:48:40+00:00,2026-05-02T02:48:40-03:00,510,TH-SUZB3-bullish-5560,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"JBSS3,VBBR3,SUZB3,RAIL3,CMIG4,ITUB4,BBDC4"
3354,2026-05-02T05:49:01+00:00,2026-05-02T02:49:01-03:00,511,TH-BPAC11-bullish-2673,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"B3SA3,BPAC11,SUZB3,BBAS3,VALE3"
3357,2026-05-02T05:49:33+00:00,2026-05-02T02:49:33-03:00,512,TH-PRIO3-bullish-3398,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"BPAC11,PRIO3,RENT3,VBBR3,B3SA3,BBDC4,ITUB4,LREN3"
3360,2026-05-02T05:50:05+00:00,2026-05-02T02:50:05-03:00,513,TH-BPAC11-bullish-15660,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"RENT3,RAIL3,WEGE3,BBDC4,BPAC11,JBSS3,VALE3,ABEV3"
3363,2026-05-02T05:50:27+00:00,2026-05-02T02:50:27-03:00,514,TH-HAPV3-bearish-15859,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"RAIL3,BBDC4,BPAC11,BBAS3,VBBR3,HAPV3"
